eventid,iyear,imonth,iday,extended,country_txt,region_txt,provstate,city,latitude,longitude,specificity,vicinity,summary,success,suicide,attacktype1_txt,targtype1_txt,gname,motive,individual,nperps,nperpcap,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
1.97E+11,1970,7,2,0,Dominican Republic,Central America & Caribbean,National,Santo Domingo,18.456792,-69.951164,1,0,,1,0,Assassination,Private Citizens & Property,MANO-D,,0,,,Unknown,1,,,0,,
1.97E+11,1970,0,0,0,Mexico,North America,Federal,Mexico city,19.371887,-99.086624,1,0,,1,0,Hostage Taking (Kidnapping),Government (Diplomatic),23rd of September Communist League,,0,7,,Unknown,0,,,0,,
1.97001E+11,1970,1,0,0,Philippines,Southeast Asia,Tarlac,Unknown,15.478598,120.599741,4,0,,1,0,Assassination,Journalists & Media,Unknown,,0,,,Unknown,1,,,0,,
1.97001E+11,1970,1,0,0,Greece,Western Europe,Attica,Athens,37.99749,23.762728,1,0,,1,0,Bombing/Explosion,Government (Diplomatic),Unknown,,0,,,Explosives,,,,,,
1.97001E+11,1970,1,0,0,Japan,East Asia,Fukouka,Fukouka,33.580412,130.396361,1,0,,1,0,Facility/Infrastructure Attack,Government (Diplomatic),Unknown,,0,,,Incendiary,,,,,,
1.97001E+11,1970,1,1,0,United States,North America,Illinois,Cairo,37.005105,-89.176269,1,0,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",1,0,Armed Assault,Police,Black Nationalists,To protest the Cairo Illinois Police Deparment,0,-99,-99,Firearms,0,0,0,0,0,0
1.97001E+11,1970,1,2,0,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,,0,0,Assassination,Police,Tupamaros (Uruguay),,0,3,,Firearms,0,,,0,,
1.97001E+11,1970,1,2,0,United States,North America,California,Oakland,37.791927,-122.225906,1,0,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",1,0,Bombing/Explosion,Utilities,Unknown,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,2,0,United States,North America,Wisconsin,Madison,43.076592,-89.412488,1,0,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",1,0,Facility/Infrastructure Attack,Military,New Year's Gang,To protest the War in Vietnam and the draft,0,1,1,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,3,0,United States,North America,Wisconsin,Madison,43.07295,-89.386694,1,0,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",1,0,Facility/Infrastructure Attack,Government (General),New Year's Gang,To protest the War in Vietnam and the draft,0,1,1,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,1,0,United States,North America,Wisconsin,Baraboo,43.4685,-89.744299,1,0,,0,0,Bombing/Explosion,Military,"Weather Underground, Weathermen",,0,,,Explosives,0,,,0,,
1.97001E+11,1970,1,6,0,United States,North America,Colorado,Denver,39.758968,-104.876305,1,0,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",1,0,Facility/Infrastructure Attack,Military,Left-Wing Militants,Protest the draft and Vietnam War,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,8,0,Italy,Western Europe,Lazio,Rome,41.890961,12.490069,1,0,,1,0,Hijacking,Airports & Aircraft,Unknown,,0,1,,Firearms,0,0,0,0,0,0
1.97001E+11,1970,1,9,0,United States,North America,Michigan,Detroit,42.331685,-83.047924,1,0,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",1,0,Facility/Infrastructure Attack,Government (General),Left-Wing Militants,,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,9,0,United States,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,1,0,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",1,0,Facility/Infrastructure Attack,Business,Armed Commandos of Liberation,To protest United States owned businesses in Puerto Rico,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,10,0,East Germany (GDR),Eastern Europe,Berlin,Berlin,52.50153,13.401851,1,0,,1,0,Bombing/Explosion,Government (General),Commune 1,,0,,,Explosives,,,,,,
1.97001E+11,1970,1,11,0,Ethiopia,Sub-Saharan Africa,Unknown,Unknown,,,5,0,,1,0,Unknown,Military,Eritrean Liberation Front,,0,1,,Unknown,1,,,0,,
1.97001E+11,1970,1,12,0,United States,North America,New York,New York City,40.697132,-73.931351,1,0,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",1,0,Bombing/Explosion,Educational Institution,Black Nationalists,Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,0,-99,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,12,0,United States,North America,Puerto Rico,Rio Grande,18.379998,-65.830948,1,0,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",1,0,Bombing/Explosion,Business,Strikers,,0,-99,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,13,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,0,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",1,0,Facility/Infrastructure Attack,Business,Black Nationalists,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,0,-99,-99,Incendiary,0,0,0,0,0,0
1.97001E+11,1970,1,14,0,United States,North America,Illinois,Champaign,40.116748,-88.23927,1,0,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",1,0,Facility/Infrastructure Attack,Police,Black Nationalists,,0,-99,-99,Incendiary,0,0,0,1,1,0
1.97001E+11,1970,1,15,0,Uruguay,South America,Montevideo,Montevideo,-34.891151,-56.187214,1,0,,1,0,Armed Assault,Educational Institution,Tupamaros (Uruguay),,0,5,,Firearms,0,,,0,,
1.97001E+11,1970,1,19,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,0,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",1,0,Bombing/Explosion,Educational Institution,Black Nationalists,The incident took place during disturbances between the Black Student Union and the university.,0,3,-99,Explosives,0,0,0,0,0,0
1.97001E+11,1970,1,19,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,0,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",0,0,Bombing/Explosion,Military,Student Radicals,The incident took place during heightened antiwar sentiments in Seattle Washington.,0,2,2,Explosives,0,0,0,0,0,0
